529, 0.9248, 0.006628571
540, 0.94, 0.006785338
542, 0.9552, 0.005192145
556, 0.948, 0.005742786
563, 0.9528, 0.005792606
564, 0.96, 0.00548095
566, 0.948, 0.006074369
567, 0.96, 0.005598834
568, 0.9576, 0.006302316
569, 0.9496, 0.006026879
570, 0.9504, 0.005999728
571, 0.944, 0.00593846
573, 0.9464, 0.006218865
574, 0.9584, 0.005105899
577, 0.952, 0.00593846
578, 0.9528, 0.006633496
579, 0.9592, 0.005419843
581, 0.9456, 0.005331156
582, 0.9576, 0.004768605
583, 0.956, 0.005268311
586, 0.9552, 0.005064805
587, 0.9592, 0.005297978
588, 0.952, 0.00593846
589, 0.9432, 0.006372389
592, 0.9608, 0.005297978
593, 0.9528, 0.005443888
594, 0.9712, 0.004126965
598, 0.9688, 0.005273267
599, 0.96, 0.004426267
600, 0.9568, 0.00521724
601, 0.96, 0.005111013
602, 0.956, 0.005742786
604, 0.9552, 0.006116155
605, 0.9568, 0.006242972
606, 0.9656, 0.005828571
607, 0.9536, 0.005523678
608, 0.9632, 0.005340947
609, 0.964, 0.005142857
610, 0.9608, 0.005297978
611, 0.9656, 0.005238476
612, 0.9624, 0.006302316
613, 0.9656, 0.00593956
614, 0.9656, 0.005238476
615, 0.956, 0.006180945
616, 0.968, 0.004712121
618, 0.9656, 0.005361693
619, 0.9656, 0.005238476
620, 0.9624, 0.005288108
623, 0.9664, 0.004622571
628, 0.9616, 0.005594166
634, 0.9736, 0.005553157
636, 0.9672, 0.004806798
638, 0.96, 0.005360475
640, 0.9672, 0.005071247
648, 0.9712, 0.004717661
649, 0.9672, 0.00519843
666, 0.9744, 0.00467874
