868, 0.9916667, 0.003571429
874, 1, 0
876, 0.9983333, 0.001666667
902, 0.9916667, 0.003571429
907, 0.9966667, 0.002332847
910, 0.9983333, 0.001666667
921, 0.9983333, 0.001666667
926, 0.995, 0.002827224
928, 0.9983333, 0.001666667
936, 0.9983333, 0.001666667
937, 0.9983333, 0.001666667
938, 0.9983333, 0.001666667
941, 0.9966667, 0.002332847
942, 1, 0
946, 1, 0
948, 1, 0
950, 1, 0
951, 1, 0
955, 1, 0
957, 1, 0
958, 1, 0
959, 0.9983333, 0.001666667
960, 1, 0
962, 0.9983333, 0.001666667
963, 0.9983333, 0.001666667
966, 1, 0
969, 1, 0
979, 1, 0
980, 1, 0
984, 1, 0
990, 1, 0
991, 1, 0
992, 1, 0
994, 1, 0
998, 1, 0
999, 1, 0
