751,0.9226759
752,0.9215879
739,0.9229034
663,0.9079828
672,0.9023086
738,0.9067069
666,0.9040707
675,0.9092259
749,0.9212638
651,0.9098552
765,0.918169
746,0.9288276
661,0.904369
667,0.9005534
674,0.9016724
747,0.9259328
671,0.9038362
746,0.9125276
652,0.9007672
739,0.9108741
742,0.9301466
675,0.9142138
675,0.9085207
745,0.9365655
660,0.9120638
665,0.9030328
664,0.9060414
738,0.9156345
669,0.9184603
657,0.9073259
742,0.9274879
747,0.9282172
671,0.9005759
661,0.9078983
676,0.9080586
692,0.9097
661,0.9069103
749,0.9146017
750,0.9278397
678,0.9046466
661,0.9039397
677,0.9046103
679,0.9004707
674,0.9094948
746,0.90785
673,0.9042362
664,0.903969
688,0.9055293
733,0.9181103
736,0.9197741
735,0.9185414
744,0.9183931
672,0.9063931
737,0.9080138
676,0.9140948
732,0.9033052
762,0.9254638
760,0.9141793
656,0.9064569
757,0.9221466
743,0.915869
741,0.9149276
730,0.9323052
751,0.9025879
744,0.9223052
672,0.9037983
739,0.9267293
672,0.9084897
672,0.9020345
752,0.9096397
756,0.9383034
677,0.9062638
671,0.9028759
750,0.9118276
732,0.9163155
763,0.9354586
743,0.9161724
656,0.9023259
667,0.9036776
718,0.9201638
729,0.9299293
675,0.9003052
739,0.9145724
743,0.9249121
659,0.9077552
665,0.9026655
665,0.9027603
747,0.9109948
666,0.910181
664,0.9063069
668,0.9059724
733,0.9106172
666,0.9192207
652,0.9086362
655,0.9044638
660,0.9014621
753,0.9297362
737,0.9199362
742,0.9208
671,0.900281
